Question,Answer
bạn có nghe thấy điều gì đó mà bạn không nói với tôi không?,sẽ không có ai thuê bạn lật bánh mì kẹp thịt.
Ý anh là gì?,bạn có nghe thấy điều gì đó mà bạn không nói với tôi không?
sắp có đợt sa thải ở nơi này phải không?,Ý anh là gì?
tôi chắc chắn hy vọng là không!,sắp có đợt sa thải ở nơi này phải không?
giảng dạy là một công việc tuyệt vời.,tôi bảo học sinh của tôi hãy trở thành giáo viên.
đó là công việc tốt nhất mà tôi từng có.,giảng dạy là một công việc tuyệt vời.
điều gì làm cho nó tốt như vậy?,đó là công việc tốt nhất mà tôi từng có.
ý tôi là tôi có những học sinh tuyệt vời.,Ý anh là gì?
điều đó hẳn là tốt đẹp.,ý tôi là tôi có những học sinh tuyệt vời.
giảng dạy là phần tuyệt vời nhất trong cả ngày của tôi.,điều đó hẳn là tốt đẹp.
bạn là một người đàn ông may mắn khi có được công việc bạn yêu thích.,giảng dạy là phần tuyệt vời nhất trong cả ngày của tôi.
điều gì khiến anh ấy tệ đến vậy?,tôi nghĩ tôi có ông chủ tồi tệ nhất trên thế giới.
anh ấy thô lỗ và la hét rất nhiều.,điều gì khiến anh ấy tệ đến vậy?
điều đó thật khó chấp nhận,anh ấy thô lỗ và la hét rất nhiều.
tôi chưa bao giờ nghe anh ấy nói làm ơn hay cảm ơn.,điều đó thật khó chấp nhận
anh ta có vẻ giống như một kẻ ngốc thực sự.,tôi chưa bao giờ nghe anh ấy nói làm ơn hay cảm ơn.
không ai ở nơi làm việc thích anh ấy.,anh ta có vẻ giống như một kẻ ngốc thực sự.
bạn không thể báo cáo anh ta với người giám sát của mình?,không ai ở nơi làm việc thích anh ấy.
về cái gì?,chúng ta sẽ làm gì?
về việc tìm việc làm cho tôi.,về cái gì?
bạn không cần một công việc. tôi kiếm đủ tiền cho cả hai chúng ta.,về việc tìm việc làm cho tôi.
điều đó không quan trọng tôi không muốn ngồi xung quanh,bạn không cần một công việc. tôi kiếm đủ tiền cho cả hai chúng ta.
nhưng bạn ghét thuốc lá và bạn ghét hút thuốc!,bật lửa thuốc lá. tôi sẽ kiếm được nhiều tiền.
tất nhiên rồi. bạn bè để làm gì?,bạn cũng sẽ làm điều tương tự với tôi
bạn đã làm gì thế?,tôi nghĩ tôi đã làm điều gì đó thực sự ngu ngốc.
tôi đã mua một số cổ phiếu,bạn đã làm gì thế?
mọi người đều mua cổ phiếu,tôi đã mua một số cổ phiếu
tôi đã mua nó theo linh cảm.,mọi người đều mua cổ phiếu
bạn chưa đọc về công ty trước à?,tôi đã mua nó theo linh cảm.
tôi đã không phải làm vậy nó đã hoạt động được 60 năm.,bạn chưa đọc về công ty trước à?
vậy vấn đề là gì?,tôi đã không phải làm vậy nó đã hoạt động được 60 năm.
tôi đã sử dụng tất cả tiền tiết kiệm của mình vào công ty này.,vậy vấn đề là gì?
bạn bỏ tất cả trứng vào một giỏ.,tôi đã sử dụng tất cả tiền tiết kiệm của mình vào công ty này.
chuyện gì đã xảy ra với kế hoạch của bạn?,tôi sắp trở thành bác sĩ
tôi có bằng tốt nghiệp đại học môn hóa học.,chuyện gì đã xảy ra với kế hoạch của bạn?
tại sao vậy?,và bây giờ tôi mừng vì tôi đã không làm thế.
bệnh viện là nơi nguy hiểm nhất thế giới,tại sao vậy?
Tại sao?,tôi muốn trở thành người đưa thư khi lớn lên.
vì bạn sẽ gặp được rất nhiều người.,Tại sao?
bạn chắc chắn làm được.,vì bạn sẽ gặp được rất nhiều người.
và bạn tập thể dục rất nhiều mỗi ngày.,bạn chắc chắn làm được.
đó là sự thật,và bạn tập thể dục rất nhiều mỗi ngày.
và bạn có thể chơi với rất nhiều con chó.,đó là sự thật
tới tiểu bang hay thành phố?,tôi muốn chuyển đến New York.
vì tôi muốn kiếm thật nhiều tiền.,tại sao bạn muốn chuyển đến đó?
có rất nhiều người nghèo ở New York.,vì tôi muốn kiếm thật nhiều tiền.
chắc chắn là có—ít nhất là một triệu.,có rất nhiều người nghèo ở New York.
vậy bạn dự định trở nên giàu có như thế nào?,chắc chắn là có—ít nhất là một triệu.
tôi sẽ gõ cửa tất cả các tập đoàn.,vậy bạn dự định trở nên giàu có như thế nào?
điều đó sẽ không làm cho bạn giàu có. sẽ không có ai nói chuyện với bạn,tôi sẽ gõ cửa tất cả các tập đoàn.
tôi sẽ tiếp tục gõ cửa.,điều đó sẽ không làm cho bạn giàu có. sẽ không có ai nói chuyện với bạn
tất cả những gì bạn sẽ nhận được là các đốt ngón tay bị đau.,tôi sẽ tiếp tục gõ cửa.
Tôi cũng vậy.,tôi yêu món salad.
tôi thường ăn một món salad đơn giản.,Tôi cũng vậy.
bạn cho gì vào đó?,tôi thường ăn một món salad đơn giản.
tôi thêm một ít hạt tiêu và muối.,thế thôi à?
tôi luôn cho phô mai vào món salad của mình.,tôi thêm một ít hạt tiêu và muối.
tôi đổ rất nhiều nước sốt kiểu Pháp lên trên.,bạn sử dụng loại trang phục nào?
Tôi cũng vậy. Nước sốt kiểu Pháp ngon quá! ai quan tâm đến lượng calo?,tôi đổ rất nhiều nước sốt kiểu Pháp lên trên.
Tôi cũng vậy.,tôi yêu phô mai.
phô mai đến từ đâu?,Tôi cũng vậy.
nó đến từ những con bò.,phô mai đến từ đâu?
chúng tôi nhận được bánh mì kẹp thịt và bít tết.,chúng ta còn nhận được gì nữa từ những con bò?
bạn thích nó như thế nào?,tôi đã từng làm việc ở một cửa hàng bán đồ ăn nhanh
tôi yêu nó!,bạn thích nó như thế nào?
bạn có nhận được đồ ăn miễn phí không?,tôi yêu nó!
tôi ăn phô mai và thịt miễn phí mỗi ngày.,bạn có nhận được đồ ăn miễn phí không?
Nghe có vẻ là một công việc tuyệt vời.,tôi ăn phô mai và thịt miễn phí mỗi ngày.
bây giờ bạn đang ăn gì?,tôi đang thực hiện một chế độ ăn kiêng mới.
tôi đã chuyển từ mì ống sang khoai tây.,bây giờ bạn đang ăn gì?
tại sao bạn làm điều đó?,tôi đã chuyển từ mì ống sang khoai tây.
mì ống là thực phẩm chế biến. khoai tây là thực phẩm tự nhiên.,tại sao bạn làm điều đó?
thực phẩm tự nhiên có nhiều vitamin hơn.,mì ống là thực phẩm chế biến. khoai tây là thực phẩm tự nhiên.
và nó thật dễ dàng để chuẩn bị.,thực phẩm tự nhiên có nhiều vitamin hơn.
bạn chuẩn bị khoai tây như thế nào?,và nó thật dễ dàng để chuẩn bị.
tại sao vậy?,mẹ của bạn gái tôi đã giận tôi ở bàn ăn tối.
tôi rắc muối và hạt tiêu lên thức ăn trước khi nếm thử.,tại sao vậy?
có chuyện gì vậy?,tôi rắc muối và hạt tiêu lên thức ăn trước khi nếm thử.
mẹ cô ấy là một đầu bếp tuyệt vời,có chuyện gì vậy?
Ồ.,nó làm tổn thương cảm xúc của cô ấy.
tôi chắc chắn mọi thứ sẽ ổn trong một hoặc hai ngày.,có lẽ bạn không nên ăn ở đó nữa.
đó là lỗi của bạn gái bạn. lẽ ra cô ấy nên cảnh báo bạn.,tôi chắc chắn mọi thứ sẽ ổn trong một hoặc hai ngày.
bạn đang đùa đấy,tôi ăn cùng một thứ mỗi ngày
có chuyện gì thế?,có gì đó không ổn với quả cam của tôi.
nó không phải màu cam!,có chuyện gì thế?
quả cam của bạn không phải là màu cam?,nó không phải màu cam!
ai biết? có lẽ chúng ta sẽ sớm có chuối hồng.,thế giới này đang đến với điều gì?
luộc? tôi chưa bao giờ nghe nói về điều đó,tôi thích đậu phộng luộc.
chỉ cần luộc đậu phộng sống trong nước muối cho đến khi vỏ mềm.,luộc? tôi chưa bao giờ nghe nói về điều đó
lúc nào đó tôi sẽ phải thử chúng.,chỉ cần luộc đậu phộng sống trong nước muối cho đến khi vỏ mềm.
chúng ngon nhất khi còn nóng.,lúc nào đó tôi sẽ phải thử chúng.
anh trai tôi bị dị ứng với đậu phộng.,chúng ngon nhất khi còn nóng.
điều đó không tốt.,anh trai tôi bị dị ứng với đậu phộng.
anh ấy có một chế độ ăn kiêng rất nghiêm ngặt,tôi đoán anh ấy phải rất cẩn thận về những gì anh ấy ăn.
bạn đã đạt được bao nhiêu?,tôi đang tăng cân.
ba bảng chỉ trong tháng này.,bạn đã đạt được bao nhiêu?
bạn có biết tại sao không?,ba bảng chỉ trong tháng này.
tôi nghĩ đó là kem.,bạn có biết tại sao không?
bạn bắt đầu ăn kem à?,tôi nghĩ đó là kem.
nó đã được bán.,bạn bắt đầu ăn kem à?
bạn đã mua bao nhiêu?,nó đã được bán.
tôi đã lấp đầy tủ lạnh của mình bằng kem.,bạn đã mua bao nhiêu?
tất nhiên rồi. bạn đã ăn mọi thứ trên bàn,tôi no rồi.
tôi không thích ăn thức ăn thừa,tất nhiên rồi. bạn đã ăn mọi thứ trên bàn
tôi rất vui khi biết có thứ gì đó bạn không thích ăn.,tôi không thích ăn thức ăn thừa
tôi thích thức ăn của tôi nóng và tươi.,tôi rất vui khi biết có thứ gì đó bạn không thích ăn.
bạn muốn thấy nó biến mất.,tôi thích thức ăn của tôi nóng và tươi.
tôi không thích nó được hâm nóng lại,bạn muốn thấy nó biến mất.
Tôi đã nới lỏng thắt lưng và cởi cúc quần.,bạn nên nới lỏng thắt lưng của bạn.
tôi không làm gì cả,tôi đã thấy những gì bạn đã làm
bạn biết tôi đang nói về điều gì,bạn đang nói về cái gì vậy?
tôi không có ý kiến ​​gì,bạn biết tôi đang nói về điều gì
bạn biết bạn đã làm gì.,tôi không có ý kiến ​​gì
tôi hứa tôi sẽ không bao giờ uống rượu trong hộp nữa.,không uống sữa trong hộp. dùng kính!
tôi cũng vậy.,tôi thích cái áo sơ mi đó
nó bao nhiêu?,tôi cũng vậy.
Tôi không biết. thẻ bị thiếu.,nó bao nhiêu?
hỏi nhân viên bán hàng.,Tôi không biết. thẻ bị thiếu.
Tôi sẽ.,hỏi nhân viên bán hàng.
tôi nghĩ tôi sẽ mua cả hai.,đó là một mức giá tuyệt vời
tốt nhất bạn nên thử chúng trước.,tôi nghĩ tôi sẽ mua cả hai.
Cảm ơn.,tôi đã mua cho bạn một chiếc quần
tôi hy vọng chúng phù hợp,Cảm ơn.
tôi hy vọng bạn giữ biên nhận.,tôi hy vọng chúng phù hợp
bạn nghĩ chúng sẽ không vừa?,tôi hy vọng bạn giữ biên nhận.
tôi nghĩ tôi đã tăng cân.,bạn nghĩ chúng sẽ không vừa?
bạn nghĩ sao?,tôi nghĩ tôi đã tăng cân.
có thể là một hoặc hai pound.,bạn nghĩ sao?
có lẽ bốn hoặc năm pound?,có thể là một hoặc hai pound.
vòng eo của tôi đã lớn hơn nó.,có lẽ bốn hoặc năm pound?
Không vấn đề. những chiếc quần này có dây thắt lưng co giãn.,vòng eo của tôi đã lớn hơn nó.
bạn thật thông minh!,Không vấn đề. những chiếc quần này có dây thắt lưng co giãn.
hãy để tôi nhìn vào danh sách của chúng tôi,chúng ta cần mua gì?
tôi biết chúng ta cần sữa.,hãy để tôi nhìn vào danh sách của chúng tôi
không béo.,tôi biết chúng ta cần sữa.
tất nhiên rồi. còn gì nữa?,không béo.
Thụy Sĩ.,loại phô mai nào?
tại sao không?,tôi chưa bao giờ mua phô mai Thụy Sĩ.
tôi không muốn trả tiền cho những cái lỗ.,tại sao không?
tôi tưởng bạn vừa mua một đôi.,tôi cần một số quần.
tôi đã làm vậy.,tôi tưởng bạn vừa mua một đôi.
chuyện gì xảy ra với họ sớm vậy?,tôi đã làm vậy.
nhưng đó là mục đích của túi.,bạn không nên mang theo chìa khóa và bút trong túi.
bạn nên mang chúng trong ví.,nhưng đó là mục đích của túi.
hãy thử tìm kiếm trực tuyến trên google.,tôi sẽ làm vậy nếu tôi có thể tìm được ai đó có túi tiền dồi dào.
bạn sử dụng chúng để lau tay cầm của xe đẩy hàng.,những cái khăn lau đó để làm gì?
đó là một ý tưởng tuyệt vời,bạn sử dụng chúng để lau tay cầm của xe đẩy hàng.
bạn cần năm cái trong số đó để làm gì?,tôi sẽ lấy năm khăn lau.
bạn có nghĩ chuối từ trên trời rơi xuống không?,có vấn đề gì với sản phẩm vậy?
Ý anh là gì?,bạn có nghĩ chuối từ trên trời rơi xuống không?
và một hộp bơ mềm nặng 1 pound cũng có giá như nhau.,đó là một việc tốt.
một thỏa thuận tốt khác.,và một hộp bơ mềm nặng 1 pound cũng có giá như nhau.
nhưng thỏa thuận tốt nhất là 5 pound khoai tây với giá 99 xu.,một thỏa thuận tốt khác.
Tôi không biết cửa hàng đó kiếm tiền bằng cách nào.,nhưng thỏa thuận tốt nhất là 5 pound khoai tây với giá 99 xu.
có chuyện gì với bạn vậy?,tôi cần một máy tính mới.
nó sáu tuổi rồi.,có chuyện gì với bạn vậy?
cái đó khá cũ rồi.,nó sáu tuổi rồi.
tôi vẫn chưa quyết định,PC hay Mac?
ngày càng có nhiều người sử dụng máy Mac.,tôi vẫn chưa quyết định
nhưng 90 phần trăm thế giới sử dụng máy tính.,ngày càng có nhiều người sử dụng máy Mac.
và điều đó sẽ không sớm thay đổi.,nhưng 90 phần trăm thế giới sử dụng máy tính.
chuyện gì đã xảy ra thế?,tôi đã bị gạt.
tôi đã gửi cho họ một email yêu cầu trả lại tiền của tôi.,bạn định làm gì?
bạn đã nghe tin gì từ họ chưa?,tôi đã gửi cho họ một email yêu cầu trả lại tiền của tôi.
Chưa. đã một tuần rồi.,bạn đã nghe tin gì từ họ chưa?
cái nào?,gọt bút chì ở đâu?
bất cứ ai. tôi cần gọt bút chì này,cái nào?
tôi nghĩ có một cái trên bàn ăn.,bất cứ ai. tôi cần gọt bút chì này
tôi đã nhìn ở đó rồi,tôi nghĩ có một cái trên bàn ăn.
bạn đã nhìn vào ngăn kéo bàn chưa?,tôi đã nhìn ở đó rồi
lấy một cái có ống hút cao su ở phía dưới.,ngày mai tôi sẽ mua một cái máy mài điện.
Đúng. bằng cách đó nó sẽ ở lại nơi tôi đặt nó.,lấy một cái có ống hút cao su ở phía dưới.
bạn đang làm điều đó như thế nào?,tôi đang cố gắng tăng đô la của mình.
tôi bắt đầu mua sắm ở cửa hàng đồng đô la.,bạn đang làm điều đó như thế nào?
điều đó tiết kiệm rất nhiều tiền.,tôi bắt đầu mua sắm ở cửa hàng đồng đô la.
tôi đã mua ba pound khoai tây với giá một đô la.,điều đó tiết kiệm rất nhiều tiền.
đó là một việc tốt.,tôi đã mua ba pound khoai tây với giá một đô la.
tôi trộn chúng lại với nhau.,tại sao bạn làm điều đó?
chúng ta có đủ khả năng không?,tôi thực sự thích ngôi nhà này
họ muốn giảm 20%.,chúng ta có đủ khả năng không?
đó là rất nhiều tiền,họ muốn giảm 20%.
nhưng ngôi nhà đẹp quá.,đó là rất nhiều tiền
nó ở trong một khu phố tuyệt vời,nhưng ngôi nhà đẹp quá.
nó gần bãi biển.,nó ở trong một khu phố tuyệt vời
nó gần với xa lộ.,nó gần bãi biển.
nó có một sân rộng.,nó gần với xa lộ.
bạn có chắc không?,chúng tôi không thể mua được căn nhà này
khoản thanh toán hàng tháng của chúng tôi sẽ quá cao.,Ý anh là gì?
chúng ta sẽ không có tiền cho những việc khác?,khoản thanh toán hàng tháng của chúng tôi sẽ quá cao.
không có bơ đậu phộng!,chúng ta sẽ ăn bánh sandwich bơ đậu phộng phải không?
điều đó không tốt chút nào!,không có bơ đậu phộng!
chúng ta phải tìm một ngôi nhà rẻ hơn.,điều đó không tốt chút nào!
tất nhiên rồi. chúng ta không thể sống thiếu xăng và bơ đậu phộng.,chúng ta phải tìm một ngôi nhà rẻ hơn.
tôi không thích nó,đó là một ngôi nhà đẹp
có chuyện gì với nó thế?,tôi không thích nó
nó ở trong góc.,có chuyện gì với nó thế?
Vì thế?,nó ở trong góc.
điều đó có nghĩa là nó nhận được lưu lượng truy cập gấp đôi.,Vì thế?
bạn nói đúng.,điều đó có nghĩa là nó nhận được lưu lượng truy cập gấp đôi.
hoặc bạn sẽ thấy vụ va chạm nếu chúng đâm vào nhà.,hoặc bạn sẽ nghe thấy tiếng va chạm nếu ai đó không dừng lại.
chúng ta hãy tìm một ngôi nhà ở cuối ngõ cụt.,hoặc bạn sẽ thấy vụ va chạm nếu chúng đâm vào nhà.
tốt nhất là chúng ta nên chuẩn bị đi thôi.,chúng tôi có cuộc hẹn lúc 2 giờ để xem cái đó trên đường chính.
đó là một đơn vị ở tầng trên.,tốt nhất là chúng ta nên chuẩn bị đi thôi.
điều đó thật tuyệt. chúng ta sẽ không có hàng xóm ở cả hai bên.,và đó là căn góc.
không có vật nuôi được phép.,điều đó thật tuyệt. chúng ta sẽ không có hàng xóm ở cả hai bên.
hoàn hảo. chúng ta không cần phải nghe tiếng chó sủa.,không có vật nuôi được phép.
và chỉ có sáu căn trong toàn bộ tòa nhà.,hoàn hảo. chúng ta không cần phải nghe tiếng chó sủa.
sổ séc ở đâu? Tôi sẵn sàng thuê nó mà không cần nhìn thấy nó.,và chỉ có sáu căn trong toàn bộ tòa nhà.
Đúng. anh ấy nói ngày mai anh ấy sẽ đến.,bạn đã gọi cho người quản lý chưa?
anh ấy có nói mấy giờ không?,Đúng. anh ấy nói ngày mai anh ấy sẽ đến.
Đúng. anh ấy nói anh ấy sẽ ở đây lúc 9 giờ.,anh ấy có nói mấy giờ không?
anh ấy có hiểu vấn đề là gì không?,Đúng. anh ấy nói anh ấy sẽ ở đây lúc 9 giờ.
Đúng. tôi đã nói với anh ấy rằng chuông cửa của chúng tôi không hoạt động.,anh ấy có hiểu vấn đề là gì không?
anh ấy sẽ không mất nhiều thời gian để sửa nó.,Đúng. tôi đã nói với anh ấy rằng chuông cửa của chúng tôi không hoạt động.
tôi thậm chí không biết tại sao chúng ta cần phải sửa nó.,anh ấy sẽ không mất nhiều thời gian để sửa nó.
trong trường hợp chúng tôi có khách.,tôi thậm chí không biết tại sao chúng ta cần phải sửa nó.
nhưng họ chỉ có thể gõ cửa.,trong trường hợp chúng tôi có khách.
vậy chúng ta có mua nó không?,và chúng ta có thể mua được nó!
tôi sợ là không.,vậy chúng ta có mua nó không?
tôi sẽ kiểm tra để đảm bảo rằng tất cả các cửa sổ đều đóng.,chúng ta hãy bật lửa lên.
trời sẽ ấm hơn trong vài phút nữa.,tôi sẽ kiểm tra để đảm bảo rằng tất cả các cửa sổ đều đóng.
thật tuyệt khi có một căn hộ được sưởi ấm.,trời sẽ ấm hơn trong vài phút nữa.
ngày xưa họ đã sống sót như thế nào?,thật tuyệt khi có một căn hộ được sưởi ấm.
họ có lò sưởi.,ngày xưa họ đã sống sót như thế nào?
ai đó đã phải chặt gỗ.,họ có lò sưởi.
và mang nó vào nhà.,ai đó đã phải chặt gỗ.
tất cả những gì chúng ta phải làm là bật công tắc.,và mang nó vào nhà.
đường phố sạch sẽ và yên tĩnh.,đây là một khu phố tốt đẹp
hàng xóm không tiệc tùng vào cuối tuần.,đường phố sạch sẽ và yên tĩnh.
mọi người chăm sóc bãi cỏ của họ.,hàng xóm không tiệc tùng vào cuối tuần.
không có chiếc ô tô cũ gỉ sét nào đậu trước sân.,mọi người chăm sóc bãi cỏ của họ.
chúng ta không bao giờ phải gọi cảnh sát về bất cứ điều gì.,không có chiếc ô tô cũ gỉ sét nào đậu trước sân.
con cái chúng tôi hoàn toàn an toàn.,chúng ta không bao giờ phải gọi cảnh sát về bất cứ điều gì.
vậy tại sao chúng tôi lại bán nhà?,con cái chúng tôi hoàn toàn an toàn.
họ đang xây một tòa nhà chung cư 3 tầng ở góc đường.,vậy tại sao chúng tôi lại bán nhà?
vậy chúng ta phải bán trước khi giá trị tài sản giảm xuống?,họ đang xây một tòa nhà chung cư 3 tầng ở góc đường.
Đúng. tôi vẫn không thể tin được hội đồng thành phố của chúng ta đã cho phép xây dựng tòa nhà này.,vậy chúng ta phải bán trước khi giá trị tài sản giảm xuống?
có lẽ họ đang lấy thứ gì đó dưới gầm bàn.,Đúng. tôi vẫn không thể tin được hội đồng thành phố của chúng ta đã cho phép xây dựng tòa nhà này.
và chúng là những ngôi nhà đắt tiền.,họ nói khoảng 30 ngôi nhà bị thiêu rụi.
tôi cảm thấy rất tiếc cho những người đó.,và chúng là những ngôi nhà đắt tiền.
tại sao lại tiếc cho người giàu?,tôi cảm thấy rất tiếc cho những người đó.
tôi cảm thấy tiếc cho bất cứ ai mất nhà của họ.,tại sao lại tiếc cho người giàu?
người giàu nghĩ họ giỏi hơn chúng ta,điều đó có liên quan gì tới nó?
bạn biết bao nhiêu người giàu?,người giàu nghĩ họ giỏi hơn chúng ta
không có.,bạn biết bao nhiêu người giàu?
tất nhiên là như vậy. họ đang chết đói.,gấu đang xâm chiếm khu vực lân cận của chúng tôi.
họ nên ở trong khu rừng nơi họ thuộc về.,tất nhiên là như vậy. họ đang chết đói.
trong rừng không có thức ăn.,họ nên ở trong khu rừng nơi họ thuộc về.
họ không thể ăn cỏ à?,trong rừng không có thức ăn.
bạn có nghĩ gấu là bò không?,họ không thể ăn cỏ à?
nó quá nguy hiểm cho trẻ em và vật nuôi.,quả mọng không có mùa quanh năm.
mọi người cần phải che thùng rác của họ.,nó quá nguy hiểm cho trẻ em và vật nuôi.
cảnh sát cần phải bắn tất cả những con gấu.,mọi người cần phải che thùng rác của họ.
bạn không giải quyết được vấn đề bằng cách bắn nó.,cảnh sát cần phải bắn tất cả những con gấu.
tôi đã bỏ phiếu cho obama.,bạn đã bỏ phiếu cho ai?
Tôi cũng vậy.,tôi đã bỏ phiếu cho obama.
ông ấy sẽ là một tổng thống vĩ đại.,Tôi cũng vậy.
mọi người đều thích anh ấy,ông ấy sẽ là một tổng thống vĩ đại.
anh ấy là một diễn giả giỏi,mọi người đều thích anh ấy
và anh ấy thực sự thông minh.,anh ấy là một diễn giả giỏi
anh ấy sẽ giải quyết vấn đề của chúng tôi.,và anh ấy thực sự thông minh.
ông ấy sẽ kết thúc chiến tranh.,anh ấy sẽ giải quyết vấn đề của chúng tôi.
bốn năm tới sẽ là những năm tốt đẹp.,ông ấy sẽ kết thúc chiến tranh.
bạn đang bỏ phiếu cho ai?,cuộc bầu cử là vào tuần tới.
tôi không bầu cho thị trưởng.,bạn đang bỏ phiếu cho ai?
tại sao không?,tôi không bầu cho thị trưởng.
anh ấy đã hứa mà không giữ lời.,tại sao không?
như thế nào?,anh ấy đã hứa mà không giữ lời.
một trăm!,anh ấy đã thuê bao nhiêu người?
có lẽ anh ấy có lý do chính đáng.,một trăm!
có lẽ anh ấy chỉ là một kẻ nói dối.,có lẽ anh ấy có lý do chính đáng.
chỉ có 15 phần trăm số cử tri đi bỏ phiếu.,tôi không thể tin được là anh ấy đã thắng cử.
đó là một trò đùa,chỉ có 15 phần trăm số cử tri đi bỏ phiếu.
việc bỏ phiếu thật dễ dàng. bạn thậm chí có thể gửi lá phiếu của mình qua đường bưu điện.,chúng ta sẽ mắc kẹt với anh ấy thêm bốn năm nữa.
tất cả những gì bạn phải làm là bỏ phiếu và đóng dấu vào đó.,việc bỏ phiếu thật dễ dàng. bạn thậm chí có thể gửi lá phiếu của mình qua đường bưu điện.
sao mà dễ thế?,tất cả những gì bạn phải làm là bỏ phiếu và đóng dấu vào đó.
tôi đoán mọi người không quan tâm,sao mà dễ thế?
họ sẽ quan tâm khi thấy thuế của họ tăng lên.,tôi đoán mọi người không quan tâm
tôi nghĩ anh ấy đã đóng cửa sân chơi bowling trong ngôi nhà màu trắng.,như thế nào?
tôi nghĩ chúng ta như vậy!,ai trả tiền cho việc đó?
Obama có bốn năm để làm mọi người hạnh phúc.,đó là 50 triệu người không yêu Obama.
anh ấy sẽ không bao giờ làm cho mọi người hạnh phúc.,Obama có bốn năm để làm mọi người hạnh phúc.
bạn có thể tưởng tượng mình là tổng thống không?,anh ấy sẽ không bao giờ làm cho mọi người hạnh phúc.
mọi người đều muốn bạn giải quyết vấn đề của họ.,bạn có thể tưởng tượng mình là tổng thống không?
tôi đã đủ căng thẳng vì cố gắng giải quyết vấn đề của riêng mình.,mọi người đều muốn bạn giải quyết vấn đề của họ.
bạn và mọi người khác.,tôi đã đủ căng thẳng vì cố gắng giải quyết vấn đề của riêng mình.
tôi sẽ không bao giờ muốn trở thành tổng thống,bạn và mọi người khác.
nhưng hãy nghĩ về tất cả sức mạnh mà bạn có.,tôi sẽ không bao giờ muốn trở thành tổng thống
tôi thích cuộc sống nhỏ bé yên tĩnh của mình hơn tất cả quyền lực trên thế giới.,nhưng hãy nghĩ về tất cả sức mạnh mà bạn có.
bài viết gì?,bạn đã đọc bài viết này?
nó nói rằng thị trưởng chỉ dành 11 phần trăm thời gian của mình cho nhiệm vụ thành phố.,bài viết gì?
chỉ 11 phần trăm?,nó nói rằng thị trưởng chỉ dành 11 phần trăm thời gian của mình cho nhiệm vụ thành phố.
khoảng 50% thời gian anh ấy đi du lịch.,chỉ 11 phần trăm?
anh ấy đi du lịch ở đâu?,khoảng 50% thời gian anh ấy đi du lịch.
anh ấy đang đến thăm các thành phố khác để lấy ý tưởng.,nhưng lẽ ra anh ấy phải làm cho thành phố của chúng ta trở thành một nơi tốt đẹp hơn.
anh ấy không thể lên mạng được sao?,anh ấy đang đến thăm các thành phố khác để lấy ý tưởng.
thời gian còn lại anh ấy sẽ quyên tiền để tái tranh cử.,anh ấy không thể lên mạng được sao?
tôi đã bỏ phiếu cho Ralph Nader.,bạn đã bầu ai làm tổng thống?
Ralph Nader là ai trên thế giới này?,tôi đã bỏ phiếu cho Ralph Nader.
ông ấy là người phù hợp nhất cho chức vụ tổng thống.,Ralph Nader là ai trên thế giới này?
tại sao vậy?,ông ấy là người phù hợp nhất cho chức vụ tổng thống.
anh ấy ghét các tập đoàn.,tại sao vậy?
nhưng anh ấy không có cơ hội. không ai bỏ phiếu cho anh ta!,anh ấy là ứng cử viên duy nhất mà tôi tin tưởng
tại sao vậy?,tôi không biết tại sao tôi lại bỏ phiếu.
nó có tác dụng gì tốt?,tại sao vậy?
bạn có thể giao quyền lực cho ai đó mà bạn thích.,nó có tác dụng gì tốt?
chỉ khi ứng cử viên của tôi thắng.,bạn có thể giao quyền lực cho ai đó mà bạn thích.
họ quên mất họ đến từ đâu.,họ quên mất ai đã đưa họ lên nắm quyền.
có lẽ bạn nên tranh cử.,họ quên mất họ đến từ đâu.
Ý anh là gì?,cuộc bầu cử đó cho chúng tôi thượng nghị sĩ ngớ ngẩn.
có nhiều phiếu bầu hơn cử tri!,Ý anh là gì?
nhưng điều đó là không thể.,có nhiều phiếu bầu hơn cử tri!
Các quan chức nói rằng điều đó là có thể.,nhưng điều đó là không thể.
họ đã giải thích làm thế nào nó có thể?,Các quan chức nói rằng điều đó là có thể.
KHÔNG. họ nói có một số điều bạn không thể giải thích được.,họ đã giải thích làm thế nào nó có thể?
vậy họ có định tổ chức một cuộc bầu cử khác không?,KHÔNG. họ nói có một số điều bạn không thể giải thích được.
KHÔNG. điều đó sẽ tốn quá nhiều tiền.,vậy họ có định tổ chức một cuộc bầu cử khác không?
vậy thà tiết kiệm tiền còn hơn bầu cử trung thực?,KHÔNG. điều đó sẽ tốn quá nhiều tiền.
Đúng. anh ấy đang kể chuyện cười về tám năm làm tổng thống của mình.,tôi thấy cựu tổng thống Bush đang dự một hội nghị.
thật tốt khi anh ấy đã có thời gian đến thăm.,nhưng Bush đã đến thăm một số người trong bệnh viện một lần.
anh ấy đã nói chuyện với họ và làm cho họ cảm thấy tốt hơn.,thật tốt khi anh ấy đã có thời gian đến thăm.
ông ấy có nói chuyện với từng gia đình có người lính mất không?,anh ấy đã nói chuyện với họ và làm cho họ cảm thấy tốt hơn.
đó là sự thật. số tiền đó đã đi đâu?,chúng tôi đã bỏ phiếu cho các loại thuế mới để chi trả cho tất cả những thứ đó!
các nhà lập pháp của chúng ta đã tiêu nó vào những chuyến du lịch hạng nhất trên khắp thế giới.,đó là sự thật. số tiền đó đã đi đâu?
